,age,job,marital_status,education,default,balance,housing_loan,personal_loan,contact_channel,last_contact_day,last_contact_month,contact_duration,campaign,gap_between_campaigns,previous,outcome_previous_campaign,insurance_subscribe
0,41,blue-collar,married,primary,no,849.0,yes,no,unknown,15.0,may,72.0,1.0,-1.0,0.0,unknown,0.0
1,49,technician,married,primary,no,1415.0,yes,no,cellular,30.0,jul,269.0,2.0,-1.0,0.0,unknown,0.0
2,42,admin.,married,secondary,no,3842.0,no,no,cellular,31.0,jul,130.0,4.0,-1.0,0.0,unknown,0.0
3,37,management,single,tertiary,no,-119.0,yes,no,unknown,11.0,jun,375.0,11.0,-1.0,0.0,unknown,0.0
4,56,blue-collar,married,primary,no,3498.0,no,no,cellular,15.0,apr,264.0,2.0,-1.0,0.0,unknown,1.0
5,39,technician,single,secondary,no,3867.0,no,no,cellular,26.0,aug,257.0,12.0,-1.0,0.0,unknown,0.0
6,30,management,single,tertiary,no,849.0,yes,no,unknown,28.0,may,261.0,6.0,-1.0,0.0,unknown,0.0
7,37,services,divorced,secondary,no,398.0,yes,yes,unknown,5.0,may,214.0,2.0,-1.0,0.0,unknown,0.0
8,26,services,married,secondary,no,549.0,no,no,unknown,3.0,jul,149.0,1.0,-1.0,0.0,unknown,0.0
9,55,technician,married,tertiary,no,1320.0,no,no,cellular,28.0,jul,340.0,1.0,91.0,2.0,success,1.0
10,28,blue-collar,married,secondary,no,339.0,yes,no,unknown,26.0,may,100.0,2.0,-1.0,0.0,unknown,0.0
11,44,unemployed,divorced,secondary,no,522.0,no,no,cellular,7.0,apr,411.0,1.0,-1.0,0.0,unknown,0.0
12,47,housemaid,married,tertiary,no,333.0,no,no,telephone,21.0,nov,8.0,5.0,137.0,1.0,failure,0.0
13,48,technician,divorced,secondary,no,0.0,no,yes,cellular,17.0,nov,318.0,1.0,-1.0,0.0,unknown,0.0
14,34,technician,divorced,tertiary,no,501.0,yes,no,unknown,19.0,may,546.0,12.0,-1.0,0.0,unknown,0.0
15,63,retired,married,secondary,no,23047.0,no,no,cellular,17.0,jun,530.0,1.0,139.0,2.0,other,0.0
16,39,blue-collar,married,secondary,no,0.0,yes,yes,unknown,20.0,may,40.0,1.0,-1.0,0.0,unknown,0.0
17,42,entrepreneur,married,tertiary,no,859.0,no,no,cellular,29.0,jul,180.0,10.0,-1.0,0.0,unknown,0.0
